Calling `python -m mlx_lm.lora...` directly is deprecated. Use `mlx_lm.lora...` or `python -m mlx_lm lora ...` instead.
Loading pretrained model

Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]
Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 4878.36it/s]
Loading datasets
Training
Trainable parameters: 0.484% (2.884M/596.050M)
Starting training..., iters: 288

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00, 10.90it/s]
Iter 1: Val loss 3.053, Val took 0.099s
Iter 155: Train loss 0.098, Learning Rate 1.000e-04, It/sec 5.122, Tokens/sec 640.242, Trained Tokens 8507, Peak mem 1.931 GB
Iter 156: Train loss 0.148, Learning Rate 1.000e-04, It/sec 3.970, Tokens/sec 440.656, Trained Tokens 8618, Peak mem 1.931 GB
Iter 157: Train loss 0.044, Learning Rate 1.000e-04, It/sec 7.359, Tokens/sec 228.125, Trained Tokens 8649, Peak mem 1.931 GB
Iter 158: Train loss 0.121, Learning Rate 1.000e-04, It/sec 6.150, Tokens/sec 436.620, Trained Tokens 8720, Peak mem 1.931 GB
Iter 159: Train loss 0.052, Learning Rate 1.000e-04, It/sec 5.543, Tokens/sec 166.303, Trained Tokens 8750, Peak mem 1.931 GB
Iter 160: Train loss 0.109, Learning Rate 1.000e-04, It/sec 5.993, Tokens/sec 395.549, Trained Tokens 8816, Peak mem 1.931 GB
Iter 161: Train loss 0.074, Learning Rate 1.000e-04, It/sec 6.853, Tokens/sec 349.507, Trained Tokens 8867, Peak mem 1.931 GB
Iter 162: Train loss 0.043, Learning Rate 1.000e-04, It/sec 7.355, Tokens/sec 213.284, Trained Tokens 8896, Peak mem 1.931 GB
Iter 163: Train loss 0.073, Learning Rate 1.000e-04, It/sec 4.804, Tokens/sec 629.286, Trained Tokens 9027, Peak mem 1.931 GB
Iter 164: Train loss 0.122, Learning Rate 1.000e-04, It/sec 4.738, Tokens/sec 592.227, Trained Tokens 9152, Peak mem 1.931 GB
Iter 165: Train loss 0.090, Learning Rate 1.000e-04, It/sec 5.660, Tokens/sec 169.804, Trained Tokens 9182, Peak mem 1.931 GB
Iter 166: Train loss 0.078, Learning Rate 1.000e-04, It/sec 6.822, Tokens/sec 347.914, Trained Tokens 9233, Peak mem 1.931 GB
Iter 167: Train loss 0.134, Learning Rate 1.000e-04, It/sec 7.463, Tokens/sec 231.349, Trained Tokens 9264, Peak mem 1.931 GB
Iter 168: Train loss 0.059, Learning Rate 1.000e-04, It/sec 6.747, Tokens/sec 209.142, Trained Tokens 9295, Peak mem 1.931 GB
Iter 169: Train loss 0.094, Learning Rate 1.000e-04, It/sec 5.135, Tokens/sec 672.624, Trained Tokens 9426, Peak mem 1.931 GB
Iter 170: Train loss 0.150, Learning Rate 1.000e-04, It/sec 5.605, Tokens/sec 285.838, Trained Tokens 9477, Peak mem 1.931 GB
